team,espn_name,twitter,url,ncaa_id,stats_name,private,team_state,conference,division
Florida Atlantic,FAU,FAUWBB,https://fausports.com/sports/womens-basketball,229,Fla. Atlantic,NA,FL,C-USA,I
Florida Tech,Florida Tech,FloridaTechWBB,https://floridatechsports.com/sports/womens-basketball,230,Florida Tech,NA,FL,Sunshine State,II
FIU,FIU,FIUWBB,https://fiusports.com/sports/womens-basketball,231,Fiu,NA,FL,C-USA,I
Fla. Southern,Fla. Southern,FSC_WBB,https://fscmocs.com/sports/womens-basketball,233,Fla. Southern,NA,FL,Sunshine State,II
Florida State,Florida St,fsuwbb,https://seminoles.com/sports/w-basketball/,234,Florida St.,NA,FL,ACC,I
Florida,Florida,GatorsWBK,https://floridagators.com/sports/womens-basketball,235,Florida,NA,FL,SEC,I
Fordham,Fordham,FordhamWBB,https://fordhamsports.com/sports/womens-basketball,236,Fordham,NA,NY,Atlantic 10,I
Franklin & Marshall,Franklin & Marshall,FandMWBB,https://www.godiplomats.com/sports/w-baskbl/index,239,NA,NA,PA,Centennial,III
Franklin Pierce,Franklin Pierce,FPURavensWBB,https://www.fpuravens.com/sports/wbkb/index,241,NA,NA,NH,NE10,II
Fredonia,Fredonia,FredoniaWHoops,https://fredoniabluedevils.com/sports/womens-basketball,242,NA,NA,NY,SUNYAC,III
Frostburg St.,Frostburg St.,FROSTBURG_WBB,https://frostburgsports.com/sports/womens-basketball,243,Frostburg St.,NA,MD,MEC,II
Furman,Furman,furmanwbb,https://furmanpaladins.com/sports/womens-basketball,244,Furman,NA,SC,SoCon,I
Gannon,Gannon,GannonWBB,https://gannonsports.com/sports/womens-basketball,246,Gannon,NA,PA,PSAC,II
SUNY Geneseo,SUNY Geneseo,GeneseoWBB,https://geneseoknights.com/sports/wbball,247,NA,NA,NY,SUNYAC,III
George Mason,George Mason,masonwbb,https://gomason.com/sports/womens-basketball,248,George Mason,NA,VA,Atlantic 10,I
George Washington,G Washington,gw_wbb,https://gwsports.com/sports/womens-basketball,249,George Washington,NA,DC,Atlantic 10,I
Georgetown,Georgetown,georgetownwbb,https://guhoyas.com/sports/womens-basketball,251,Georgetown,NA,DC,Big East,I
Georgia Southern,GA Southern,gsathletics_wbb,https://gseagles.com/sports/womens-basketball,253,Ga. Southern,NA,GA,Sun Belt,I
Georgia State,Georgia St,gsu_wbb,https://georgiastatesports.com/sports/womens-basketball,254,Georgia State,NA,GA,Sun Belt,I
Georgia Tech,Georgia Tech,gtwbb,https://ramblinwreck.com/sports/w-baskbl/,255,Georgia Tech,NA,GA,ACC,I
Georgia,Georgia,uga_wbb,https://georgiadogs.com/sports/womens-basketball,257,Georgia,NA,GA,SEC,I
Gettysburg,Gettysburg,GburgWBB,https://gettysburgsports.com/sports/womens-basketball,258,NA,NA,PA,Centennial,III
Rowan,Rowan,RowanWBB,https://www.rowanathletics.com/sports/womens-basketball,259,Rowan,NA,NJ,NJAC,III
Gonzaga,Gonzaga,zagwbb,https://gozags.com/sports/womens-basketball,260,Gonzaga,NA,WA,WCC,I
Grambling,Grambling,WBB_LadyTigers,https://gsutigers.com/sports/womens-basketball,261,Grambling,NA,LA,SWAC,I
Grand Valley St.,Grand Valley St.,gvsuwbb,https://gvsulakers.com/sports/womens-basketball,262,NA,NA,MI,GLIAC,II
Grinnell,Grinnell,GrinnellWBB,https://pioneers.grinnell.edu/sports/womens-basketball,264,NA,NA,IA,MWC,III
