college,ncaa_id,college_clean,category
Cedar Crest,14795,Cedar Crest,College
Cedar Falls High School,,Cedar Falls High School,Other
Cedarville,30124,Cedarville,College
Cedarville High School,,Cedarville High School,Other
Centenary College of Louisiana,125,Centenary,College
Centenary,12884,Centenary,College
Centenary College,125,Centenary,College
Centennial High School,,Centennial High School,Other
Central Arizona College,,Central Arizona College,Community College
Central Arkansas,1004,Central Arkansas,College
University of Central Arkansas,1004,Central Arkansas,College
Central Baptist College,,Central Baptist College,College
Central Bucks East High School,,Central Bucks East High School,Other
Central Cabarrus High School,,Central Cabarrus High School,Other
Central Catholic High School,,Central Catholic High School,Other
Central Christian College of the Bible,,Central Christian College of the Bible,College
Central College,,Central College,College
Central Connecticut,127,Central Connecticut,College
Central Connecticut State,127,Central Connecticut,College
Central Connecticut State University,127,Central Connecticut,College
Central Florida,128,Central Florida,College
Central Florida Christian Academy,,Central Florida Christian Academy,Other
Central Florida Mix,,Central Florida Mix,Other
Central High School,,Central High School,Other
Central Holmes Academy High School,,Central Holmes Academy High School,Other
Central Methodist,,Central Methodist,College
Central Methodist University,,Central Methodist,College
Central Michigan,129,Central Michigan,College
Central Michigan University,129,Central Michigan,College
Central Missouri,130,Central Missouri,College
University of Central Missouri,130,Central Missouri,College
Central Okla.,1009,Central Okla.,College
Central Oklahoma,1009,Central Oklahoma,College
Central Washington,1010,Central Washington,College
Central Washington University,1010,Central Washington,College
Centre,132,Centre,College
Centre College,132,Centre College,College
Chadron State,1012,Chadron State,College
Chaffey CC,,Chaffey CC,Community College
Chambersburg High School,,Chambersburg High School,Other
Chaminade College Preparatory,,Chaminade College Preparatory,Other
Chandler Gilbert Community College,,Chandler Gilbert CC,Community College
Chandler-Gilbert Community College,,Chandler Gilbert CC,Community College
Chantilly High School,,Chantilly High School,Other
Chaparral High School,,Chaparral High School,Other
Chapel Hill High School,,Chapel Hill High School,Other
Chapman Middle School,,Chapman Middle School,Other
College of Charleston,1014,Charleston,College
University of Charleston,1014,Charleston,College
Charleston (WV),1013,Charleston (WV),College
Charleston Catholic High School,,Charleston Catholic High School,Other
Charleston Southern,48,Charleston Southern,College
Charleston Southern University,48,Charleston Southern,College
Charlotte,458,Charlotte,College
Charlotte Hornets,,Charlotte Hornets,Professional
Charlotte Sting,,Charlotte Sting,Other
Chatham University,10972,Chatham,College
Chatham High School,,Chatham High School,Other
Chattahoochee High School,,Chattahoochee High School,Other
Chattahoochee Valley Community College,,Chattahoochee Valley CC,Community College
Chattanooga,693,Chattanooga,College
Cherokee High School,,Cherokee High School,Other
Chesapeake,,Chesapeake,Community College
Chesapeake College,,Chesapeake,Community College
Chestnut Hill,21323,Chestnut Hill,College
Chestnut Hill College,21323,Chestnut Hill,College
Cheyenne Central High School,,Cheyenne Central High School,Other
Cheyenne Mountain High School,,Cheyenne Mountain High School,Other
Cheyney,,Cheyney,College
Cheyney University of Pennsylvania,,Cheyney,College
University of Chicago,137,Chicago,College
Chicago,137,Chicago,College
Chicago Bulls,,Chicago Bulls,Professional
Chicago Bulls/White Sox Youth Academy,,Chicago Bulls/White Sox Youth Academy,Other
Chicago Lockdown,,Chicago Lockdown,Other
Chicago Sky,,Chicago Sky,Professional
Chicago Sky Basketball Academy,,Chicago Sky Basketball Academy,Other
Chicago State,136,Chicago State,College
Chicago White Sox,,Chicago White Sox,Professional
Cal State Chico,95,Chico State,College
Chico State,95,Chico State,College
Chinese National Team,,Chinese National Team,Other
Chipola College,,Chipola College,Community College
Chippewa Middle School,,Chippewa Middle School,Other
Chowan,8875,Chowan,College
Chowan University,8875,Chowan University,College
Christ School,,Christ School,Other
Christ The King High School,,Christ The King High School,Other
Christian Brothers,1015,Christian Brothers,College
Christian Brothers University,1015,Christian Brothers,College
Christiansburg High School,,Christiansburg High School,Other
Christopher Newport,139,Christopher Newport,College
Cienega High School,,Cienega High School,Other
Cincinnati,140,Cincinnati,College
University of Cincinnati,140,Cincinnati,College
Cincy Nation,,Cincy Nation,Other
Cisco College,,Cisco JC,Community College
Cisco Junior College,,Cisco JC,Community College
City College of New York,480,City College of New York,College
City College of San Francisco,,City College of San Francisco,College
Clackamas Community College,,Clackamas CC,Community College
Claflin,30058,Claflin,College
Claflin University,30058,Claflin,College
Claremont-M-S,142,Claremont-M-S,College
Claremont-Mudd-Scripps,142,Claremont-Mudd-Scripps,College
Claredon College,,Clarendon College,Community College
Clarendon College,,Clarendon College,Community College
Clarion,143,Clarion,College
Clark,145,Clark,College
Clark (MA),145,Clark (MA),College
Clark College,,Clark CC,Community College
Clarke,,Clarke,College
Clarke University,,Clarke,College
Clarkson University,146,Clarkson,College
Clarkson,146,Clarkson,College
Clarksville Christian School,,Clarksville Christian School,Other
Clayton State University,20576,Clayton State,College
Clearbrook-Gonvick High School,,Clearbrook-Gonvick High School,Other
Cleary University,,Cleary,College
Clemson,147,Clemson,College
Clemson University,147,Clemson,College
Cleveland Cavaliers,,Cleveland Cavaliers,Professional
Cleveland Rockers,,Cleveland Rockers,Professional
Cleveland State University,148,Cleveland State,College
Cleveland State,148,Cleveland State,College
Cleveland State Community College,,Cleveland State CC,Community College
Cleveland Wolverines AAU Club,,Cleveland Wolverines AAU Club,Other
Climax-Scotts High School,,Climax-Scotts High School,Other
Clinton College,,Clinton College,College
Clinton Prairie,,Clinton Prairie,Other
CN Sabadell,,CN Sabadell,Other
CoachMePlus,,CoachMePlus,Other
Coahoma CC,,Coahoma CC,Community College
Coast Guard,722,Coast Guard,College
Coastal Bend Junior College,,Coastal Bend Junior College,Community College
Coastal Carolina,149,Coastal Carolina,College
College of Coastal Georgia,,Coastal Georgia,College
Cochise College,,Cochise College,Community College
Coe,150,Coe,College
Coe College,150,Coe College,College
Coker,1023,Coker,College
Coker University,1023,Coker,College
Colby Community College,,Colby CC,Community College
Colby College,151,Colby College,College
Colby-Sawyer College,152,Colby-Sawyer College,College
Colgate,153,Colgate,College
College Coaches Network,,College Coaches Network,Other
College of Idaho,,College of Idaho,College
College of Marin,,College of Marin,Community College
College of Saint Benedict,595,College of Saint Benedict,College
College of Saint Rose,,College of Saint Rose,College
College of St. Elizabeth,9684,College of St. Elizabeth,College
College of St. Scholastica,618,College of St. Scholastica,College
College of the Sequoias,,College of the Sequoias,Community College
College of William and Mary,786,College of William and Mary,College
College of Wooster,807,College of Wooster,College
College Prep Training,,College Prep Training,Other
College Sport Research Institute,,College Sport Research Institute,Other
Colleyville High School,,Colleyville High School,Other
Colman-Egan High School,,Colman-Egan High School,Other
Colorado,157,Colorado,College
University of Colorado,157,Colorado,College
Colorado 14ers,,Colorado 14ers,Other
Colorado Christian,,Colorado Christian,College
Colorado College,154,Colorado College,College
Colorado Northwestern Community College,,Colorado Northwestern Community College,Community College
Colorado Northwestern Junior College,,Colorado Northwestern Junior College,Community College
