"team","in_out","player","height","year","position","hometown"
"Utah Tech","out","Alyson Deaver","6-0","SO","forward","Sumner, WA"
"Utah Tech","out","Catelyn Deaver","6-0","SO","forward","Sumner, WA"
"Utah Tech","out","Caitlynn Jordan","6-2","SO","forward","Fate, TX"
"Utah Tech","out","Amber Kartchner","5-9","RS SO","guard","Logan, UT"
"Utah Valley","out","Kaylee Byon","5-7","SO","point guard","Buena Park, CA"
"Utah Valley","out","Abby Conlee","6-0","JR","wing","Alpine, UT"
"Utah Valley","out","Eleyana Tafisi","5-6","SR","point guard","West Jordan, UT"
"Valparaiso","out","Ava Interrante","5-9","SR","shooting guard","McHenry, IL"
"Valparaiso","out","Jayda Johnston","6-0","SR","forward","Roseville, MN"
"Valparaiso","out","Ella Van Weelden","6-2","RS SO","forward","Cedar Rapids, IA"
"Vanderbilt","out","Ryanne Allen","6-1","SO","wing","Warminster, PA"
"Vanderbilt","out","Bailey Gilmore","6-3","FR","forward","Midway, GA"
"Vanderbilt","out","Bella LaChance","5-6","SR","point guard","Davie, FL"
"Vermont","out","Paula Gonzalez","5-11","SO","wing","Sarria, Spain"
"Vermont","out","Zenia Palaska","6-2","FR","forward","Athens, Greece"
"Villanova","out","Abby Jegede","5-10","RS FR","guard","Toronto, ON"
"Villanova","out","Megan Olbrys","6-1","SO","forward","Norwood, MA"
"Villanova","out","Lucy Olsen","5-9","JR","point guard","Collegeville, PA"
"Villanova","out","Kylie Swider","6-4","SR","forward/center","Portsmouth, RI"
"Virginia","out","Kaydan Lawson","6-1","SR","wing","Cincinnati, OH"
"Virginia","out","Cady Pauley","5-11","SO","shooting guard","Milan, MO"
"VCU","out","Elze Motekaityte","6-2","SR","forward","Klaipeda, Lithuania"
"VCU","out","Sarah Te-Biasu","5-5","SR","combo guard","Montreal, Quebec"
"Virginia Tech","out","Georgia Amoore","5-6","SR","point guard","Ballarat, Victoria, Australia"
"Virginia Tech","out","Gabby Brooks","5-10","FR","guard","Harrisonburg, VA"
"Virginia Tech","out","Clara Strack","6-5","FR","center","Buffalo, NY"
"Virginia Tech","out","Samyha Suffren","5-8","FR","point guard","Charlotte, NC"
"Wagner","out","Rakisha Ballinger","5-8","JR","wing","Hyattsville, MD"
"Wake Forest","in","Emily Johns","6-1","SR","forward","Washington Township, NJ"
"Wake Forest","out","Aliah McWhorter","6-1","SR","wing","Cincinnati, OH"
"Washington","out","Ari Long","6-0","FR","shooting guard/wing","Moreno Valley, CA"
"Washington","out","Jayda Noble","5-11","SR","guard","Spokane, WA"
"Washington","other","Charlee Arthur","5-10","G","Bellevue, WA"
"Washington State","out","Cia Eklöf","5-10","RS FR","combo guard","Helsinki, Finland"
"Washington State","out","Charlisse Leger-Walker","5-10","SR","guard","Waikato, New Zealand"
"Washington State","out","Johanna Teder","5-8","RS SR","guard","Tartu, Estonia"
"Weber State","out","Ashton Adamson","5-10","JR","wing","Pocatello, ID"
"Weber State","out","Aaliyah Ellis","5-9","JR","combo guard","Cibolo, TX"
"Weber State","out","Charlotte Hegvold","5-8","SR","shooting guard","Ipswich, Queensland, Australia"
"Weber State","out","Kaiija Lesane","5-4","JR","point guard","Antelope, CA"
"Weber State","out","Emri Lovell","5-4","JR","point guard","Killeen, TX"
"Weber State","out","Vicky Parra","6-2","SR","center","Valencia, Spain"
"Weber State","out","Amelia Raidaveta","6-2","SO","center","Dubbo, New South Wales, Australia"
"Weber State","out","Emma Torbert","6-2","SR","center","Dana Point, CA"
"West Virginia","out","Messiah Hunter","6-2","RS SO","wing","Hopewell, VA"
"Western Carolina","out","Audrey Meyers","6-0","SR","wing","Columbia, SC"
"Western Carolina","out","Chelsea Wooten","5-9","JR","guard","McKinney, TX"
"Western Illinois","out","Raegan McCowan","5-11","FR","shooting guard","Lebanon, MO"
"Western Illinois","out","Lily Randgaard","5-10","SO","shooting guard","Oconomowoc, WI"
"Western Kentucky","in","Mariama Sow","6-3","JR","forward","Thies, Senegal"
"Western Kentucky","out","Karris Allen","5-11","SO","wing","Sikeston, MO"
"Western Kentucky","out","Nevaeh Foster","5-8","FR","combo guard","South Bend, IN"
"Western Kentucky","out","Alexis Mead",,,"guard",
"Western Kentucky","out","Aaliyah Pitts","5-8","GR","guard","Oak Ridge, TN"
"Western Michigan","out","Denali Craig-Edwards","6-1","FR","wing","Peoria, IL"
"Western Michigan","out","Kaiden Glenn","5-10","JR","wing","Ypsilanti, MI"
"Wichita State","out","Daniela Abies","6-0","SO","center","Málaga, Spain"
"Wichita State","out","Sophia Askew-Goncalves","6-4","FR","center","Oakland, CA"
"Wichita State","out","Ambah Kowcun","5-10","SR","wing","Adelaide, Australia"
"Wichita State","out","Raissa Nsabua","5-10","JR","guard","Ottawa, ON"
"Wichita State","out","Jeniah Thompson","5-9","SR","guard","Carterville, IL"
"William & Mary","out","Cate Carlson","5-10","FR","shooting guard/wing","Virginia Beach, VA"
"William & Mary","out","Madison Magee","6-1","JR","forward/center","Phoenix, AZ"
"William & Mary","out","Danielle McTeer","6-0","RS SO","wing","Hampton, VA"
"Winthrop","out","Claudia Clement","6-3","FR","forward","Barcelona, Spain"
"Winthrop","out","Elli Garnett","5-11","RS JR","wing","Golden, CO"
"Winthrop","out","Tiana Spann","6-1","RS FR","center","Charleston, SC"
"Wisconsin","out","Sania Copeland","5-7","SO","guard","Kansas City, KS"
"Wisconsin","out","Tessa Towers","6-5","SO","center","Batavia, IL"
"Wisconsin","out","Sacia Vanderpool","6-4","RS SO","forward/center","Byron, MN"
"Wofford","out","Josie Trabel","6-0","FR","wing","St. Leon, IN"
"Wright State","in","Abbie Riddle","5-11","FR","guard","Baltimore, OH"
"Wright State","out","Kacee Baumhower","5-9","RS JR","point guard","Sylvania, OH"
"Wright State","out","Catalina Ion","6-0","SO","forward","Bucharest, Romania"
"Wright State","out","Rachel Loobie","6-1","SR","forward","Indianapolis, IN"
"Wyoming","out","Grace Moyers","5-8","SO","shooting guard","Erie, CO"
"Wyoming","out","Bailey Wilborn","5-8","JR","shooting guard","Wichita, KS"
"Xavier","in","Irune Orio","6-2","SO","wing","Balmaseda, Euskadi, Spain"
"Xavier","out","Shelby Calhoun","5-11","SR","shooting guard/wing","Louisville, KY"
"Xavier","out","Aanaya Harris","5-11","JR","wing","Omaha, NE"
"Xavier","out","Mackayla Scarlett","5-10","SR","shooting guard/wing","Bronx, NY"
"Xavier","out","Aby Shubert","5-8","FR","shooting guard","Kasson, MN"
"Xavier","out","Kaysia Woods","6-0","JR","guard","Lincoln, NE"
"Yale","out","Brenna McDonald","6-3","SR","forward","Natick, MA"
"Youngstown State","in","Faith Burch","6-1","RS SO","forward","Warren, OH"
"Youngstown State","in","Dacia Lewandowski","5-11","FR","point guard","Pittsburgh, PA"
"Youngstown State","out","Amya McLeod","5-6","FR","shooting guard","Rome, NY"
